location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,living_meters,kitchen_meters
Московская область,sale,flat,5,7,3,74.0,41500000.0,"Кв-ра ""под ключ"" в Басманном е3-комн. квартира",74 м²,5/7 этаж,,,1928,49 м²,7 м²
Московская область,sale,flat,24,44,3,137.0,125000000.0,Раменки,Минская ,2,Минская,Долина Сетунь,2017,89 м²,10 м²
Московская область,sale,flat,2,11,3,80.78,10194436.0,Прикубанский, Даниила Смоляна,65к1,,Южане,2021,"37,5 м²","18,6 м²"
Московская область,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,2023,109 м²,10 м²
Московская область,sale,flat,4,5,3,115.0,98000000.0,Хамовники,Кропоткинский переулок,4С1,Парк Культуры,,-1,82 м²,15 м²
Московская область,sale,flat,3,9,4,287.0,350000000.0,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE,2021,-1,"16,2 м²"
Московская область,sale,flat,3,18,3,79.2,12299760.0,,,,,Эрмитаж,2027,"37,9 м²","21,3 м²"
Московская область,sale,flat,3,6,2,236.0,130000000.0,,,,,Жуковка Шале,-1,-1,-1
Московская область,sale,flat,10,17,2,52.2,9890000.0,, Свердлова,50.0,Щёлковская,,2006,"35,5 м²","9,6 м²"
Московская область,sale,flat,11,17,1,21.0,9905700.0,Адлерский,,,,Лестория,2026,9 м²,"4,4 м²"
Московская область,sale,flat,3,6,1,47.3,18120000.0,Адлерский,Веселая ,82/1Б,,Green Sail Park,2020,15 м²,30 м²
Московская область,sale,flat,3,4,2,62.58,6758640.0,,,,,О2 (Кислород),2024,-1,-1
Московская область,sale,flat,7,9,2,78.0,19800000.0,Адлерский, Интернациональная,3/1,,,-1,-1,20 м²
Московская область,sale,flat,4,5,1,40.17,14461200.0,Вахитовский,,,Кремлёвская,Дом на Исхаки ЖК,2026,"13,4 м²","11,6 м²"
Московская область,sale,flat,15,21,2,76.0,20000000.0,Хостинский, Яна Фабрициуса,2/4б,,,2008,-1,10 м²
Московская область,sale,flat,2,8,1,42.78,4962480.0,Аксай, Луначарского,52,,Простор,2025,"11,7 м²",20 м²
Московская область,sale,flat,3,6,1,52.0,20360000.0,Адлерский,Веселая ,82/1Б,,Green Sail Park,2021,15 м²,35 м²
Московская область,sale,flat,2,4,1,29.45,10560000.0,Светлогорск, Нахимова,,,Палатиум,2026,-1,-1
Московская область,sale,flat,4,38,2,65.0,23000000.0,Ростокино,проспект Мира,188Бк4,Ростокино,Триколор,2015,40 м²,15 м²
Московская область,sale,flat,2,4,2,51.11,11755300.0,,,,,Усадьба Гостагаевская,2026,-1,-1
Московская область,sale,flat,19,32,1,32.2,25000000.0,Пресненский,Шмитовский проезд,39к2,Шелепиха,Headliner,2019,-1,7 м²
Московская область,sale,flat,2,8,1,37.77,11535739.0,Вахитовский,,,Площадь Тукая,Яналиф ЖК,2027,"17,3 м²",-1
Московская область,sale,flat,7,21,2,62.0,30000000.0,Свиблово,Сельскохозяйственная ,38к1,Ботанический сад,LIFE-Ботанический сад,2020,39 м²,11 м²
Московская область,sale,flat,6,7,2,68.92,24345919.0,Анапа,шоссе Симферопольское,58,,Европа,2023,"35,4 м²",-1
Московская область,sale,flat,7,36,2,84.3,57000000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд6,Шелепиха,Сердце Столицы,-1,30 м²,40 м²
Московская область,sale,flat,2,12,2,52.76,19257400.0,Центральный,Пластунская ,104Б,,Южный Парк,2023,-1,5 м²
Московская область,sale,flat,5,6,2,94.0,99000000.0,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT,2017,-1,-1
Московская область,sale,flat,3,20,2,60.5,15605975.0,Приволжский,,,Аметьево,Фриссон ЖК,2027,-1,-1
Московская область,sale,flat,2,8,2,77.2,110000000.0,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский,2019,-1,-1
Московская область,sale,flat,3,30,1,40.27,7438594.0,Октябрьский,,,,Урман Сити ЖК,2026,"23,9 м²","6,5 м²"
Московская область,sale,flat,5,18,2,39.9,22500000.0,Левобережный,Фестивальная ,15К4,Речной вокзал,Фестиваль парк-2,2023,8 м²,20 м²
Московская область,sale,flat,2,59,2,31.1,,Можайский,,,Давыдково,Веер ЖК,2028,"15,7 м²",-1
Московская область,sale,flat,4,6,1,35.1,23000000.0,Басманный, Покровка,38С1,Курская,,1902,-1,-1
Московская область,sale,flat,14,24,1,36.98,9096000.0,,,,,Гарантия на Обрывной,2023,"15,3 м²","12,4 м²"
Московская область,sale,flat,3,12,2,65.6,82000000.0,Раменки,Мосфильмовская ,1к5,Ломоносовский проспект,Вишневый сад,2020,-1,30 м²
Московская область,sale,flat,19,23,1,35.55,6445215.0,мкр. КСК,Уральская ,87/7,,URAL,2024,"10,1 м²","16,2 м²"
Московская область,sale,flat,11,12,1,33.5,8000000.0,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,,1972,17 м²,7 м²
Московская область,sale,flat,4,18,2,48.4,7211600.0,,,,,Порто-Ново,2026,"23,2 м²","11,3 м²"
Московская область,sale,flat,13,25,1,42.3,9500000.0,, Рождественская,11,Медведково,Ньютон,2014,-1,10 м²
Московская область,sale,flat,6,9,2,47.0,13300000.0,Василеостровский, Кораблестроителей,19К1,Приморская,,1974,-1,8 м²
Московская область,sale,flat,10,17,1,41.0,9700000.0,,,20,Бачуринская,,2011,16 м²,10 м²
Московская область,sale,flat,9,21,2,60.35,7543750.0,мкр. ХБК,Уральская ,100/8,,Режиссёр,2025,"32,4 м²",15 м²
Московская область,sale,flat,12,19,2,84.0,59000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,Сердце Столицы,-1,63 м²,16 м²
Московская область,sale,flat,3,5,2,71.3,39950000.0,Курортный, Максима Горького,2Ас3,,Russian seasons,2020,"28,4 м²","26,4 м²"
Московская область,sale,flat,21,22,2,41.71,5901000.0,мкр. Приморский, Рассветная,,,Малина,2022,-1,20 м²
Московская область,sale,flat,6,9,2,47.0,13300000.0,Василеостровский, Кораблестроителей,19К1,Приморская,,1974,-1,8 м²
Московская область,sale,flat,5,28,-1,31.0,16200000.0,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point,-1,17 м²,8 м²
Московская область,sale,flat,3,15,1,40.7,5700000.0,,,,,Супонево,2013,18 м²,12 м²
Московская область,sale,flat,12,14,1,31.0,10900000.0,Дагомыс пгт, Старошоссейная,5к2,,Каравелла Португалии,2020,-1,-1
Московская область,sale,flat,7,17,3,70.0,27500000.0,Центральный, Чайковского,2Б,,,2011,42 м²,25 м²
Московская область,sale,flat,4,9,3,70.0,32000000.0,Ломоносовский,Ленинский проспект,89/2,Новаторская,,1960,-1,10 м²
Московская область,sale,flat,2,7,2,134.71,323304000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,Luce - фамильный дом,2026,"28,9 м²","25,2 м²"
